"Psychiatric.Prognosis","Parole.Adjustment","Major.Violation"
"Doubtful","Favorable","No Major Violation"
"Doubtful","Favorable","No Major Violation"
"Doubtful","Favorable","No Major Violation"
"Doubtful","Favorable","No Major Violation"
"Doubtful","Favorable","No Major Violation"
"Doubtful","Favorable","No Major Violation"
"Doubtful","Favorable","No Major Violation"
"Doubtful","Favorable","No Major Violation"
"Doubtful","Favorable","No Major Violation"
"Doubtful","Favorable","No Major Violation"
"Doubtful","Favorable","No Major Violation"
"Doubtful","Favorable","No Major Violation"
"Doubtful","Favorable","No Major Violation"
"Doubtful","Favorable","No Major Violation"
"Doubtful","Favorable","No Major Violation"
"Doubtful","Favorable","No Major Violation"
"Doubtful","Favorable","No Major Violation"
"Doubtful","Favorable","No Major Violation"
"Doubtful","Favorable","No Major Violation"
"Doubtful","Favorable","No Major Violation"
"Doubtful","Favorable","No Major Violation"
"Doubtful","Favorable","No Major Violation"
"Doubtful","Favorable","No Major Violation"
"Doubtful","Favorable","No Major Violation"
"Doubtful","Favorable","No Major Violation"
"Doubtful","Favorable","No Major Violation"
"Doubtful","Favorable","No Major Violation"
"Doubtful","Favorable","No Major Violation"
"Doubtful","Favorable","No Major Violation"
"Doubtful","Favorable","No Major Violation"
"Doubtful","Favorable","No Major Violation"
"Doubtful","Favorable","No Major Violation"
"Doubtful","Favorable","No Major Violation"
"Doubtful","Favorable","No Major Violation"
"Doubtful","Favorable","No Major Violation"
"Doubtful","Favorable","No Major Violation"
"Doubtful","Favorable","No Major Violation"
"Doubtful","Favorable","No Major Violation"
"Doubtful","Favorable","No Major Violation"
"Doubtful","Favorable","No Major Violation"
"Doubtful","Favorable","No Major Violation"
"Doubtful","Favorable","No Major Violation"
"Doubtful","Favorable","No Major Violation"
"Doubtful","Favorable","No Major Violation"
"Doubtful","Favorable","No Major Violation"
"Doubtful","Favorable","No Major Violation"
"Doubtful","Favorable","No Major Violation"
"Doubtful","Favorable","No Major Violation"
"Doubtful","Favorable","No Major Violation"
"Doubtful","Favorable","No Major Violation"
"Doubtful","Favorable","No Major Violation"
"Doubtful","Favorable","No Major Violation"
"Doubtful","Favorable","No Major Violation"
"Doubtful","Favorable","No Major Violation"
"Doubtful","Favorable","No Major Violation"
